9.526493446685030397e-01,6.730752654954805791e-01,5.316514704700880944e-02,3.076100356830678839e-01,8.200578382132195365e-01,7.552235669393557727e-01,1.669866162315535307e-01
6.366372720876177782e-01,5.545564874056267968e-01,9.200689514281503723e-01,9.739021512089919286e-01,7.269423240365021632e-01,2.865817396144889617e-01,1.967030289030079704e+00
2.988599797986424278e-02,1.701140279349540041e-01,7.098635213297537216e-01,4.871141630228891239e-01,5.416344052842626544e-01,6.388818397473047250e-01,6.847853672415153969e-01
4.063576162658983915e-01,4.515604842531230068e-01,9.261429990082163943e-01,4.019263279475014938e-01,8.896690603531142161e-01,3.583956232803608977e-01,1.341505923738876227e+00
4.387141972305645954e-01,7.074185222125138894e-01,9.993989979007233959e-01,3.756180802995225942e-01,4.139174760986635837e-01,2.036666114529459559e-01,7.948058407264353420e-01
8.521190491486805296e-01,9.591782071157498590e-01,8.587392264277763365e-01,8.497780023127395888e-01,8.105089783808541171e-01,1.789802204792937390e-01,1.352436527205929107e+00
7.458752923720297634e-01,9.511064748073743136e-01,7.130013882873349473e-01,5.480378768939075940e-02,7.924942810094294243e-01,3.568605994984859198e-01,5.885174412819542678e-01
1.700928801744061580e-01,5.072105937310312784e-01,6.504049117073467112e-01,5.876414203502967615e-01,8.590381718536825861e-01,3.280636816560937863e-01,8.868643751789978547e-01
4.773157753446108931e-01,1.944845252999483076e-01,3.743586158766913918e-01,7.243992774403315016e-01,6.587851266786620696e-01,9.456802138358393339e-01,1.052062880109021048e+00
5.126549654719312343e-01,7.716604507191273665e-01,7.938815552722430224e-01,5.933460088565795099e-01,2.562662719116927112e-01,1.019703770572900625e-01,7.043730550709208504e-01
7.749390011639365472e-01,7.029810297392153906e-01,1.573236550604045769e-01,6.534635786162301674e-01,1.454277780842816448e-02,1.547004529771500714e-02,1.867367562292825967e-01
6.982841025172292770e-02,7.831388303591597655e-01,1.314798421400944495e-01,3.768842469873751044e-01,1.887938865192739790e-02,3.770815432399352574e-01,1.738300674449781008e-02
7.660713666064135063e-01,6.060416654256289837e-01,9.835943697020040899e-01,9.741144058270645445e-01,4.882344283738175861e-01,5.181389432620642221e-01,1.621464037519290136e+00
2.561679064187862842e-01,9.656152242648299300e-01,1.951178189648601347e-01,3.854354522687207796e-01,4.360218979492569424e-01,1.697238357693140465e-01,1.962662942634350594e-01
1.426330759920866331e-01,7.893820605947480251e-01,6.646563918810410865e-02,4.863615936117186012e-01,1.737624741394725447e-01,3.947914734001355397e-01,7.680338550093444849e-02
6.299763730622357505e-01,2.902113395414219754e-01,1.260525976894713018e-01,5.012588591248516856e-01,9.900651949940035834e-01,9.631309878208829112e-01,3.366769648540474114e-01
9.925204408495136299e-01,9.810511814897224792e-01,1.280059003742809454e-01,2.232371527110413867e-01,4.693482523701812958e-01,1.716778708961496092e-01,2.179669411493220799e-01
4.944592890620024273e-01,9.267879199658076717e-01,6.761209934164447155e-01,3.290335995799696933e-01,3.039061146331416552e-01,7.304781124150729887e-01,3.898035635782689523e-01
1.009118759373188734e-01,1.341847114450976930e-01,5.846056631433012019e-01,1.857862287493834419e-01,4.827765304529567647e-01,2.565559721941101934e-02,1.090927200950166709e+00
