4.336970252347726040e-01,7.883180040138147993e-01,7.430006280936083396e-01,4.533510363628119877e-01
8.608462475890199528e-01,4.819680112924824567e-01,4.579609300360634183e-01,8.815126534041729522e-01
3.672942495729317747e-01,9.662829976003084465e-02,3.984809221132923351e-02,3.881492932951274288e-01
1.400152821934530500e-02,6.367236529309764359e-01,6.188962099040701270e-01,1.425113966596530495e-02
4.799173635076980915e-01,1.604323369729507842e-01,1.867082232399970287e-01,4.673071094465891528e-01
4.522798207123661651e-01,2.980478266261358256e-01,3.240225982084826706e-01,4.405319556780576962e-01
1.130858138556015691e-01,7.759428443364690953e-02,7.286640054663651167e-02,1.136204704527789267e-01
8.083285821746568622e-01,3.734319430783539229e-01,3.427313482960477886e-01,8.331447504269569038e-01
7.978546891732456459e-01,8.565598089270165527e-01,7.582599273065895318e-01,8.762837106692782374e-01
2.817237088655013544e-01,7.213184012150520852e-01,4.648592893388810987e-01,3.539743210356087744e-01
9.082931087197561038e-01,8.155700121086191245e-01,8.768704367881365869e-01,8.526143554217558984e-01
9.506455836342753152e-02,8.322189095380615464e-01,5.687234825139251271e-01,1.201136347642597912e-01
9.165494624229427734e-01,7.063802803360155202e-01,8.644562557266399772e-01,7.716650121566835940e-01
3.294138987570338628e-02,9.655870930840843025e-01,2.812862154466498898e-01,5.548321187824410694e-02
6.013405373638374130e-01,2.368648358615640381e-01,4.283444057706187191e-02,7.180188795291376769e-01
1.722437842826652910e-01,9.292309073174427336e-01,4.649742342285551056e-01,2.522091105339754891e-01
5.755738916540157346e-01,3.447349313502050538e-01,5.011399260020196200e-01,4.855512602081453188e-01
3.063633931968994251e-01,3.992380460078032156e-01,8.491705757171597035e-01,1.685205366854762021e-01
8.716597914134256442e-01,7.897365039100801010e-01,7.716320086774761666e-01,8.874407519515224996e-01
6.837803079340208923e-01,2.461710544807381718e-01,6.676678729136121815e-01,3.955690836327802051e-01
6.259912652270542832e-01,3.717955631638474312e-01,1.341250498602225560e-01,7.747709305571539584e-01
6.595859891502980910e-01,4.137195246428169160e-01,7.440189602519816647e-01,4.417251091982419831e-01
1.680796502994877928e-01,8.523805617513766641e-01,6.692567839739302915e-01,1.988590308298421039e-01
7.553204421768000554e-01,3.039324762746671293e-01,5.848141729027811486e-02,9.407146445816525482e-01
